,CO,ID,NO,PM1,PM10,PM2.5
2018-12-05 17:26:36.325948285+00:00,1035,606405AA0C73,1283,21.327,32.655,29.927
2018-12-05 17:27:36.329031611+00:00,1036,606405AA0C73,1286,22.14,32.035,30.228
2018-12-05 17:28:36.437846115+00:00,1039,606405AA0C73,1293,20.281,28.105,26.544
2018-12-05 17:29:36.467779298+00:00,1038,606405AA0C73,1295,20.857,28.804,27.821
2018-12-05 17:30:36.466269687+00:00,1037,606405AA0C73,1296,20.526,27.491,26.053
2018-12-05 17:31:36.558439228+00:00,1016,606405AA0C73,1281,22.614,30.561,29.404
2018-12-05 17:32:36.538093217+00:00,1017,606405AA0C73,1283,22.375,30.607,28.732
2018-12-05 17:33:36.668826962+00:00,1039,606405AA0C73,1038,23.754,34.404,31.825
2018-12-05 17:34:36.656648657+00:00,1020,606405AA0C73,1300,21.161,31.518,28.393
2018-12-05 17:35:36.648231335+00:00,1038,606405AA0C73,1302,24.614,36.263,33.754
2018-12-05 17:36:36.716847733+00:00,1038,606405AA0C73,1289,23.193,35.526,30.667
2018-12-05 17:37:36.747484353+00:00,1038,606405AA0C73,1305,22.518,32.393,30.679
2018-12-05 17:38:36.872102087+00:00,1040,606405AA0C73,1307,23.053,32.368,31.14
2018-12-05 17:39:36.888150027+00:00,1038,606405AA0C73,1308,24.375,33.839,32.821
2018-12-05 17:40:36.916634046+00:00,1039,606405AA0C73,1309,22.193,31.456,29.632
2018-12-05 17:41:36.952409401+00:00,1038,606405AA0C73,1312,23.196,33.375,31.214
2018-12-05 17:42:37.051114813+00:00,1038,606405AA0C73,1299,20.035,25.895,24.912
2018-12-05 17:43:37.038568621+00:00,1036,606405AA0C73,1314,22.25,30.714,29.911
2018-12-05 17:44:37.058334678+00:00,1038,606405AA0C73,1313,22.246,31.579,29.737
2018-12-05 17:45:37.107558181+00:00,1037,606405AA0C73,1312,21.526,30.351,28.368
2018-12-05 17:46:37.167543885+00:00,1021,606405AA0C73,1296,23.339,34.429,31.571
2018-12-05 17:47:37.269491827+00:00,1018,606405AA0C73,1297,21.614,31.175,28.912
2018-12-05 17:48:37.257959967+00:00,1038,606405AA0C73,1312,21.625,29.5,28.625
2018-12-05 17:49:37.328749975+00:00,1016,606405AA0C73,1297,22.07,28.684,27.86
2018-12-05 17:50:37.307700475+00:00,1035,606405AA0C73,1311,22.281,29.561,27.246
2018-12-05 17:51:37.408353150+00:00,1035,606405AA0C73,1311,22.125,31.946,30.75
2018-12-05 17:52:37.397467141+00:00,1036,606405AA0C73,1312,20.947,28.982,26.421
2018-12-05 17:54:37.707712147+00:00,1034,606405AA0C73,1311,23.204,31.944,29.778
2018-12-05 17:55:37.669967522+00:00,1033,606405AA0C73,1310,22.68,31.04,29.06
2018-12-05 17:56:37.668206211+00:00,1032,606405AA0C73,1293,26.316,37.649,35.281
2018-12-05 17:57:37.738433408+00:00,1015,606405AA0C73,1291,24.719,32.754,32.07
2018-12-05 17:58:37.709690060+00:00,1012,606405AA0C73,1291,23.456,31.772,29.965
2018-12-05 17:59:37.818275212+00:00,1011,606405AA0C73,1290,24.211,34.474,32.035
2018-12-05 18:00:37.828644034+00:00,1011,606405AA0C73,1289,24.625,34.143,32.286
2018-12-05 18:01:37.898721858+00:00,1036,606405AA0C73,1304,22.965,32.526,30.754
2018-12-05 18:02:37.868284662+00:00,1038,606405AA0C73,1304,23.786,32.071,30.518
2018-12-05 18:03:37.967295326+00:00,1033,606405AA0C73,1302,24.719,35.158,33.825
2018-12-05 18:04:37.959718286+00:00,1034,606405AA0C73,1303,25.123,35.281,32.947
2018-12-05 18:05:38.045110142+00:00,1035,606405AA0C73,1305,22.839,32.357,30.107
2018-12-05 18:06:38.098793037+00:00,1032,606405AA0C73,1304,26.175,37.105,34.807
2018-12-05 18:07:38.087531419+00:00,1033,606405AA0C73,1301,24.877,36.544,33.14
2018-12-05 18:08:38.197637274+00:00,1034,606405AA0C73,1298,24.321,35.75,34.214
